number,Date,date1,total_cost,subtotal,country,total_payed,excise_tax,free_shipping,Margin $,Margin %
#243177,7/15/2021,7/15/2021,15.75,31.58,US,43.57,2.36,FALSE,11.7272,37.13%
#243176,7/15/2021,7/15/2021,17.25,32.45,US,44.44,0,FALSE,13.4224,41.36%
#243175,7/15/2021,7/15/2021,15.56,25.29,US,39.87,0,FALSE,8.1352,32.17%
#243174,7/15/2021,7/15/2021,44.27,91.57,US,98.56,13.99,TRUE,29.3676,32.07%
#243173,7/15/2021,7/15/2021,37.5,54.09,US,66.08,0,FALSE,13.9468,25.78%
#243172,7/15/2021,7/15/2021,26.85,50.48,US,62.47,0,FALSE,21.1312,41.86%
#243171,7/15/2021,7/15/2021,51.25,95.98,US,102.97,14.8,TRUE,25.8112,26.89%
#243170,7/15/2021,7/15/2021,40.8,94.92,US,101.91,11.88,TRUE,38.1636,40.21%
#243169,7/15/2021,7/15/2021,22,48.43,US,63.93,0,FALSE,23.8728,49.29%
#243168,7/15/2021,7/15/2021,52.96,83.57,US,90.56,0,TRUE,26.9876,32.29%
#243167,7/15/2021,7/15/2021,69.54,112.78,US,119.77,0,TRUE,38.4492,34.09%
#243166,7/15/2021,7/15/2021,28.29,51.84,US,63.83,1.5,FALSE,19.4968,37.61%
#243165,7/15/2021,7/15/2021,11,24.73,US,36.72,0,FALSE,12.2612,49.58%
#243164,7/15/2021,7/15/2021,21.5,45.41,US,57.4,2.15,FALSE,19.464,42.86%
#243163,7/15/2021,7/15/2021,34.5,75.1,US,87.09,0,TRUE,37.1164,49.42%
#243162,7/15/2021,7/15/2021,69,115.23,US,122.22,3.5,TRUE,37.8412,32.84%
#243161,7/15/2021,7/15/2021,21,44.1,US,56.09,0,FALSE,20.8564,47.29%
#243160,7/15/2021,7/15/2021,12.5,23.9,US,35.89,0,FALSE,9.9644,41.69%
#243159,7/15/2021,7/15/2021,22.75,48.68,US,60.67,0,FALSE,23.5032,48.28%
#243158,7/15/2021,7/15/2021,31.66,61.13,US,73.12,10.54,FALSE,16.0052,26.18%
#243157,7/15/2021,7/15/2021,42.8,84.26,US,91.25,6.42,TRUE,31.39,37.25%
#243156,7/15/2021,7/15/2021,24,48.4,US,60.39,10,FALSE,11.9844,24.76%
#243155,7/15/2021,7/15/2021,14,25.65,US,37.64,0,FALSE,10.1444,39.55%
#243154,7/15/2021,7/15/2021,8,27.11,US,39.1,2.4,FALSE,15.146,55.87%
#243153,7/15/2021,7/15/2021,11.65,19.86,US,31.85,0,FALSE,6.936,34.92%
